YearsCode,YearsCodeProfessional,Background,SalaryUSD,Education,Age,Country,Blockchain,HTML_CSS,LISP,Java,JavaScript,OCaml,Cplusplus,Scala,PHP,Python,C,Fortran,SQL,R,C_sharp,MATLAB,Julia,Clojure,Ruby,Rust,Haskell
7,5,I am a developer by profession,36038.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,China,Indifferent,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
9,7,I am a developer by profession,26661.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Spain,Indifferent,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
30,18,I am a developer by profession,106644.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Germany,Unfavorable,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
12,8,I am a developer by profession,100000.0,Some college/university study without earning a degree,18-24 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
19,10,I am a developer by profession,79153.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,United Kingdom of Great Britain and Northern Ireland,Very unfavorable,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
6,5,I am a developer by profession,62820.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
8,4,I am a developer by profession,24528.0,"Associate degree (A.A., A.S., etc.)",18-24 years old,Spain,Indifferent,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
10,2,"I am not primarily a developer, but I write code sometimes as part of my work",37325.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Unsure,no,no,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no
30,11,I am a developer by profession,79983.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Germany,Very unfavorable,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
9,3,I am a developer by profession,34126.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Favorable,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
20,13,I am a developer by profession,92000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
5,4,I am a developer by profession,42657.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Greece,Very unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
6,6,I am a developer by profession,162000.0,Some college/university study without earning a degree,25-34 years old,Portugal,Very unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
13,4,I am a developer by profession,93701.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,Canada,Favorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no
10,3,I am a developer by profession,75000.0,"Associate degree (A.A., A.S., etc.)",18-24 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
15,12,I am a developer by profession,25344.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Brazil,Indifferent,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
20,10,I am a developer by profession,127000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
16,10,I am a developer by profession,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very favorable,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no
21,12,I am a developer by profession,41591.0,"Associate degree (A.A., A.S., etc.)",35-44 years old,Italy,Unfavorable,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no
15,9,I am a developer by profession,74651.0,Some college/university study without earning a degree,25-34 years old,Germany,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
40,20,I am a developer by profession,70276.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Canada,Very unfavorable,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
15,10,I am a developer by profession,400000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
28,21,I am a developer by profession,120000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
6,2,I am a developer by profession,27084.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Unsure,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
4,2,I am a developer by profession,110000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Favorable,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
32,30,I am a developer by profession,96500.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,New Zealand,Very favorable,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
4,1,I am a developer by profession,19346.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Unfavorable,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
26,15,I am a developer by profession,38392.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Germany,Unsure,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no
10,3,I am a developer by profession,69339.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Australia,Indifferent,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
18,10,I am a developer by profession,50875.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Poland,Unfavorable,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
37,33,I am a developer by profession,105000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55-64 years old,United States of America,Unsure,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
26,18,I am a developer by profession,180000.0,Some college/university study without earning a degree,35-44 years old,United States of America,Unfavorable,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
18,12,I am a developer by profession,110000.0,"Associate degree (A.A., A.S., etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no
6,6,I am a developer by profession,49056.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Netherlands,Very unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
20,20,I am a developer by profession,75384.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United Kingdom of Great Britain and Northern Ireland,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
7,2,I am a developer by profession,2193.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,India,Indifferent,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
14,12,I am a developer by profession,500000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no
2,0,I am a developer by profession,74310.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Australia,Unsure,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
5,3,I am a developer by profession,77500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
25,23,I am a developer by profession,120000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
14,11,I am a developer by profession,185000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Very unfavorable,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,no
10,5,I am a developer by profession,230000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,United States of America,Very favorable,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
17,9,I am a developer by profession,90720.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
26,17,I am a developer by profession,145821.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Switzerland,Unfavorable,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
11,4,I am a developer by profession,29860.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Greece,Very unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
8,8,I am a developer by profession,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,India,Favorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
10,7,I am a developer by profession,106157.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Australia,Indifferent,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
20,8,I am a developer by profession,101151.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,South Africa,Unfavorable,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no
35,20,I am a developer by profession,134445.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Switzerland,Favorable,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
17,12,I am a developer by profession,130000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Unfavorable,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
8,3,"I am not primarily a developer, but I write code sometimes as part of my work",53322.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Germany,Very unfavorable,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
23,13,I am a developer by profession,101312.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,Netherlands,Indifferent,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no
25,23,I am a developer by profession,188459.0,Some college/university study without earning a degree,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Indifferent,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
6,2,I am a developer by profession,42575.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,Portugal,Indifferent,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
12,6,I am a developer by profession,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United States of America,Very favorable,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
25,18,I am a developer by profession,53322.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Spain,Favorable,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
13,8,I am a developer by profession,108590.0,Some college/university study without earning a degree,25-34 years old,Switzerland,Unsure,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
22,16,I am a developer by profession,389482.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,United Kingdom of Great Britain and Northern Ireland,Very unfavorable,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
24,18,I am a developer by profession,150000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Unfavorable,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
,,I am a developer by profession,220000.0,Some college/university study without earning a degree,25-34 years old,United States of America,Favorable,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no
14,10,I am a developer by profession,200000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Very favorable,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
9,4,I am a developer by profession,120000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Favorable,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
19,10,I am a developer by profession,51189.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Belgium,Very unfavorable,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
5,0,I am a developer by profession,36435.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,United Kingdom of Great Britain and Northern Ireland,Favorable,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
10,4,I am a developer by profession,81666.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Ireland,Very unfavorable,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
26,16,I am a developer by profession,250000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
23,21,I am a developer by profession,127972.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Spain,Indifferent,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
4,2,I am a developer by profession,95000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
20,18,I am a developer by profession,77383.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,India,Unsure,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
2,2,I am a developer by profession,42717.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unfavorable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
8,2,I am a developer by profession,79000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United States of America,Indifferent,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
25,12,I am a developer by profession,77848.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Australia,Indifferent,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
14,14,I am a developer by profession,215000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,United States of America,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
27,23,I am a developer by profession,125000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,United States of America,Indifferent,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
22,15,I am a developer by profession,159966.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Netherlands,Very unfavorable,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
9,2,I am a developer by profession,51189.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,France,Very unfavorable,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
11,5,I am a developer by profession,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no
20,6,I am a developer by profession,43974.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unsure,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
7,6,I am a developer by profession,401600.0,Some college/university study without earning a degree,35-44 years old,United States of America,Very favorable,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
15,8,"I am not primarily a developer, but I write code sometimes as part of my work",55455.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,Portugal,Indifferent,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
30,25,I am a developer by profession,60058.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,South Africa,Indifferent,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
17,5,I am a developer by profession,10000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,United States of America,Unsure,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
9,7,I am a developer by profession,57794.0,Some college/university study without earning a degree,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Unsure,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
6,6,"I am not primarily a developer, but I write code sometimes as part of my work",54659.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Canada,Favorable,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
12,6,I am a developer by profession,180000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
40,30,"I am not primarily a developer, but I write code sometimes as part of my work",176928.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Australia,Unfavorable,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
14,10,I am a developer by profession,41271.0,Some college/university study without earning a degree,25-34 years old,India,Very unfavorable,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
12,11,I am a developer by profession,99080.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Australia,Indifferent,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
5,3,I am a developer by profession,16766.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,India,Favorable,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
10,4,I am a developer by profession,120000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no
7,2,I am a developer by profession,140000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,United States of America,Unfavorable,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
3,2,I am a developer by profession,62820.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United Kingdom of Great Britain and Northern Ireland,Indifferent,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
15,12,I am a developer by profession,192750.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,United States of America,Very unfavorable,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
10,4,I am a developer by profession,69318.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,Germany,Indifferent,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no
40,29,"I am not primarily a developer, but I write code sometimes as part of my work",38392.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Spain,Favorable,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes
